127.0.0.1 - - [12/Mar/2024:10:28:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:27 +0530] "GET /ProductManagementApp/app-product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:28 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:32 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198129
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:46 +0530] "GET /ProductManagementApp/EditProductServlet?proId=2 HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:28:46 +0530] "GET /ProductManagementApp/validateForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:29:08 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198129
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:29:15 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=2 HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:29:18 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:30:05 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 11349589
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:30:32 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 22700571
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:31:20 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 177057805
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:38:39 +0530] "GET /ProductManagementApp/EditProductServlet?proId=2 HTTP/1.1" 200 5236
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:39:54 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 177057728
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:40:02 +0530] "GET /ProductManagementApp/EditProductServlet?proId=1 HTTP/1.1" 200 5236
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:46:10 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 177057728
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:46:11 +0530] "GET /ProductManagementApp/EditProductServlet?proId=1 HTTP/1.1" 200 5233
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:46:19 +0530] "GET /ProductManagementApp/EditProductServlet?proId=1 HTTP/1.1" 200 5233
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:46:26 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 17892406
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:12 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:17 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 177057728
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:17 +0530] "GET /ProductManagementApp/EditProductServlet?proId=1 HTTP/1.1" 200 5224
